file,emotion,text,speaker
Ses01F_impro02_F018,neu,and your mother is close by.,Ses01F
Ses01F_impro02_F019,sad,i'll send you lots of letters.,Ses01F
Ses01F_impro02_F020,sad,and i want lots and lots and lots of pictures.,Ses01F
Ses01F_impro02_M000,xxx,it's not fair.,Ses01M
Ses01F_impro02_M001,sad,"i don't understand. you've already done so much, i don't know why do you have to go back.",Ses01M
Ses01F_impro02_M002,xxx,"i don't know, it's just not fair. i think you've already made your sacrifice.",Ses01M
Ses01F_impro02_M003,fru,i just don't see how they can make you leave when you have a new baby - we have a new kid.,Ses01M
Ses01F_impro02_M004,xxx,then why is that fair? why--,Ses01M
Ses01F_impro02_M005,sad,i don't know how you can be okay with this? i don't know why you're not-- you're fine with it.,Ses01M
Ses01F_impro02_M006,xxx,i'm just trying to think of another way. i'm just trying to...,Ses01M
Ses01F_impro02_M007,xxx,this is a stupid war.,Ses01M
Ses01F_impro02_M008,fru,i know.,Ses01M
Ses01F_impro02_M009,sad,i just don't see why it has to be you.,Ses01M
Ses01F_impro02_M010,sad,what am i going to do? huh?,Ses01M
Ses01F_impro02_M011,sad,yeah.,Ses01M
Ses01F_impro02_M012,neu,don't you guys have access to computers over there.,Ses01M
Ses01F_impro02_M013,sad,i just don't know how i'm going to do it without you.,Ses01M
Ses01F_impro02_M014,sad,i can't raise a baby by myself. how?,Ses01M
Ses01F_impro02_M015,neu,i know.,Ses01M
Ses01F_impro02_M016,fru,it's just not fair.,Ses01M
Ses01F_impro03_F000,hap,well vegas was awesome.,Ses01F
Ses01F_impro03_F001,hap,"and, um, i got married.",Ses01F
Ses01F_impro03_F002,hap,yeah. in the old town part.,Ses01F
Ses01F_impro03_F003,xxx,chuck. [laughter],Ses01F
Ses01F_impro03_F004,hap,um- yes. it was very romantic.,Ses01F
Ses01F_impro03_F005,hap,it was at the slot machines.,Ses01F
Ses01F_impro03_F006,hap,"uhuh, uhuh. he won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F
Ses01F_impro03_F007,xxx,hey. let's get married and i said okay.,Ses01F
Ses01F_impro03_F008,hap,"yeah. well. you know, because he's leaving the next day.",Ses01F
Ses01F_impro03_F009,hap,but we're going to have a honeymoon cruise.,Ses01F
Ses01F_impro03_F010,hap,oh. i hadn't even thought about that.,Ses01F
Ses01F_impro03_F011,xxx,"he's not going to be a citizen, though.",Ses01F
Ses01F_impro03_F012,hap,oh. totally.,Ses01F
Ses01F_impro03_F013,hap,i guess i'll- i guess i'll have an internet husband.[laughter],Ses01F
Ses01F_impro03_F014,xxx,i have an internet boyfriend. i guess i'll have to juggle the two. is that cheating? i don't know. hmm.,Ses01F
Ses01F_impro03_F015,hap,"yeah, so [laughter] he's calling me now",Ses01F
Ses01F_impro03_F016,hap,"he likes to keep tabs, you know.",Ses01F
Ses01F_impro03_F017,neu,"uh, i think seven hundred and fifty dollars.",Ses01F
Ses01F_impro03_F018,neu,penny slots. that's what he plays.,Ses01F
Ses01F_impro03_F019,neu,yeah.,Ses01F
Ses01F_impro03_F020,xxx,oh.,Ses01F
Ses01F_impro03_F021,hap,yeah. we played wheel of fortune pennies. it's like a giant thing with like-,Ses01F
Ses01F_impro03_F022,neu,fifty bucks. mmhmm.,Ses01F
Ses01F_impro03_F023,neu,yeah.,Ses01F
Ses01F_impro03_F024,hap,well so now we're married. we have cat children.,Ses01F
Ses01F_impro03_F025,hap,"we renamed brenda, lumber janet.",Ses01F
Ses01F_impro03_F026,hap,she needs a new name each state that we go into. [laughter],Ses01F
Ses01F_impro03_M000,neu,so what's up? what's new?,Ses01M
Ses01F_impro03_M001,neu,yeah. i heard.,Ses01M
Ses01F_impro03_M002,sur,shut up. no- in vegas?,Ses01M
Ses01F_impro03_M003,hap,who did you marry?,Ses01M
Ses01F_impro03_M004,xxx,did you propose to you?,Ses01M
Ses01F_impro03_M005,xxx,oh. the wheel of fortune slots?,Ses01M
Ses01F_impro03_M006,neu,he turned to you and was like...,Ses01M
Ses01F_impro03_M007,hap,[laughter] that's really romantic.,Ses01M
Ses01F_impro03_M008,neu,yeah.,Ses01M
Ses01F_impro03_M009,neu,"does that mean that you're going to get citizenship, too, in- in england or whatever?",Ses01M
Ses01F_impro03_M010,xxx,yeah. think about that.,Ses01M
Ses01F_impro03_M011,neu,yeah. but he'll have like a long visa. can you go visit then for a long time?,Ses01M
Ses01F_impro03_M012,xxx,"oh, how are you going to do the long distance thing? so wait, are you going to move there?",Ses01M
Ses01F_impro03_M013,hap,like you need another one of those.[laughter],Ses01M
Ses01F_impro03_M014,hap,is that your phone?,Ses01M
Ses01F_impro03_M015,hap,he loves you.,Ses01M
Ses01F_impro03_M016,neu,how much did he win at the slot?,Ses01M
Ses01F_impro03_M017,sur,really? penny slots?,Ses01M
Ses01F_impro03_M018,sur,wow.,Ses01M
Ses01F_impro03_M019,neu,i'm a big fan of the wheel of fortune quarters. but it just costs so much. i don't know.,Ses01M
Ses01F_impro03_M020,neu,"but the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01M
Ses01F_impro03_M021,neu,"like, wait, but it's just pennies. you're like, wait a minute i'm on to you.",Ses01M
Ses01F_impro03_M022,hap,awesome.,Ses01M
Ses01F_impro03_M023,hap,[laughter] cat babies.,Ses01M
Ses01F_impro03_M024,neu,that's fair enough.,Ses01M
Ses01F_impro04_F000,neu,"uh, what? craig's list? oh the internet thing?",Ses01F
Ses01F_impro04_F001,neu,i don't know. isn't that-- that's all like escort services and things like that.,Ses01F
Ses01F_impro04_F002,fru,"i don't know. i mean i've been looking for so long that i just figured that-- i mean, i think things like monster are a lot more reliable than just some random free board.",Ses01F
Ses01F_impro04_F003,xxx,what kind of a job?,Ses01F
Ses01F_impro04_F004,xxx,really?,Ses01F
Ses01F_impro04_F005,neu,he just...,Ses01F
Ses01F_impro04_F006,neu,you know what? i heard about that job. i applied for that.,Ses01F
Ses01F_impro04_F007,fru,yeah. i saw a posting at the theatre.,Ses01F
Ses01F_impro04_F008,xxx,he got it?,Ses01F
Ses01F_impro04_F009,neu,yeah.,Ses01F
Ses01F_impro04_F010,xxx,what did he do? what was so great? i don't understand why they would pick him over me.,Ses01F
Ses01F_impro04_F011,xxx,a resume?,Ses01F
Ses01F_impro04_F012,xxx,no.,Ses01F
Ses01F_impro04_F013,neu,i just- i mean i call people up and i tell them what i'm good at.,Ses01F
Ses01F_impro04_F014,neu,yeah.,Ses01F
Ses01F_impro04_F015,xxx,i don't like- i don't like sending things in the mail. i don't want my information out there.,Ses01F
Ses01F_impro04_F016,fru,i'm there in front of them. i'm telling them what i'm good at.,Ses01F
Ses01F_impro04_F017,fru,why? it's a piece of paper.,Ses01F
Ses01F_impro04_F018,fru,"i just don't want this paper trail, you know. i just don't want things following me around, like-.",Ses01F
Ses01F_impro04_F019,fru,"it's just-- you know, i've had this problem before. you're not the first person to tell me that i need a resume but...",Ses01F
Ses01F_impro04_F020,xxx,..i just-..i just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,Ses01F
Ses01F_impro04_F021,fru,"that's baloney, that's baloney.",Ses01F
Ses01F_impro04_F022,fru,please.,Ses01F
Ses01F_impro04_F023,fru,you think that you're better than me because i don't have a car?,Ses01F
Ses01F_impro04_F024,fru,"you know, you're riding the bus, too.",Ses01F
Ses01F_impro04_F025,fru,why? what choice?,Ses01F
Ses01F_impro04_F026,fru,you're saving the environment. mmhmm,Ses01F
Ses01F_impro04_F027,fru,interesting. that's fantastic.,Ses01F
Ses01F_impro04_F028,ang,i'm not frustrated.,Ses01F
Ses01F_impro04_F029,ang,who do you think you are?,Ses01F
Ses01F_impro04_F030,ang,you are so high and mighty. i just--,Ses01F
Ses01F_impro04_F031,ang,oh. i'm saving the environment. i'm riding this car because i- i want to.,Ses01F
Ses01F_impro04_F032,ang,"the bus, i'm riding the bus because i want to.",Ses01F
Ses01F_impro04_F033,ang,i can not-- you are not here by choice. nobody would ride this bus by choice.,Ses01F
Ses01F_impro04_M000,neu,"have you tried, uh, craig's list?",Ses01M
Ses01F_impro04_M001,neu,yeah.,Ses01M
Ses01F_impro04_M002,neu,no. there's regular jobs on there.,Ses01M
Ses01F_impro04_M003,neu,uh huh.,Ses01M
Ses01F_impro04_M004,neu,i'm just saying i have a friend that got a good job on it so i was just recommending it.,Ses01M
Ses01F_impro04_M005,neu,he's like a manager for a theatre.,Ses01M
Ses01F_impro04_M006,neu,he's like a house manager. yeah. it's a good job.,Ses01M
Ses01F_impro04_M007,neu,you did?,Ses01M
Ses01F_impro04_M008,neu,yeah.,Ses01M
Ses01F_impro04_M009,neu,you've been looking for a job for a long time; that was a long time ago. right?,Ses01M
Ses01F_impro04_M010,neu,hmm.,Ses01M
Ses01F_impro04_M011,neu,i don't know. he had a really good resume i guess and--,Ses01M
Ses01F_impro04_M012,neu,yeah. do you have a resume?,Ses01M
Ses01F_impro04_M013,neu,it's kind of helpful when getting a job.,Ses01M
Ses01F_impro04_M014,neu,well maybe we should sit down some time and you can just tell me all the stuff that you have done and i'll write it out.,Ses01M
Ses01F_impro04_M015,neu,"no. you can- or you can just bring it in person. but they need, generally, something to see, you know, what kind of what that you've done, what kind of--",Ses01M
Ses01F_impro04_M016,neu,"yeah. but the piece of paper helps, too.",Ses01M
Ses01F_impro04_M017,neu,"no. but it has an outline, you know.",Ses01M
Ses01F_impro04_M018,neu,"i know. okay. well, um. maybe--",Ses01M
Ses01F_impro04_M019,neu,yeah.,Ses01M
Ses01F_impro04_M020,neu,"okay, yeah. i would imagine.",Ses01M
Ses01F_impro04_M021,neu,"well, sometimes you have to do things that you don't necessarily like to do to have a job. but the job affords you money, you won't have to be taking the bus right now.",Ses01M
Ses01F_impro04_M022,neu,maybe get a car.,Ses01M
Ses01F_impro04_M023,neu,"i just, you know, think you should try a little harder maybe.",Ses01M
Ses01F_impro04_M024,neu,i didn't say that.,Ses01M
Ses01F_impro04_M025,neu,"i am riding the bus, but by choice.",Ses01M
Ses01F_impro04_M026,neu,"to save the environment, carpool.",Ses01M
Ses01F_impro04_M027,neu,yes. one less car at a time.,Ses01M
Ses01F_impro04_M028,neu,mmhmm.,Ses01M
Ses01F_impro04_M029,fru,"you know, you don't have to take out your frustration on me, you know, just because...",Ses01M
Ses01F_impro04_M030,fru,...you can't get a job and refuse to have a resume.,Ses01M
Ses01F_impro04_M031,neu,i don't think i'm anyone.,Ses01M
Ses01F_impro04_M032,neu,i- i-i didn't-- okay.,Ses01M
Ses01F_impro04_M033,xxx,what? no.,Ses01M
Ses01F_impro04_M034,fru,what? oh. so now you're...,Ses01M
Ses01F_impro04_M035,fru,you know what? you don't have to take your anger and your hurt out on me.,Ses01M
Ses01F_impro04_M036,xxx,why not?,Ses01M
Ses01F_impro05_F000,fru,hi.,Ses01F
Ses01F_impro05_F001,fru,yeah. this is the fourth line that i have been in.,Ses01F
Ses01F_impro05_F002,fru,i need my bag.,Ses01F
Ses01F_impro05_F003,fru,"i flew in over three hours ago, i've been in four different lines.",Ses01F
Ses01F_impro05_F004,fru,i waited the entire baggage- i waited for the whole baggage carousel four times. they told me to go to the next one. i waited through that for three planes and now i'm here.,Ses01F
Ses01F_impro05_F005,fru,nash.,Ses01F
Ses01F_impro05_F006,xxx,no g.,Ses01F
Ses01F_impro05_F007,fru,yes.,Ses01F
Ses01F_impro05_F008,ang,flight seven fourteen.,Ses01F
Ses01F_impro05_F009,ang,"am i going to be getting, like, free tickets, free mileage. when can i expect my bag here?",Ses01F
Ses01F_impro05_F010,xxx,"oh, are you kidding me?",Ses01F
Ses01F_impro05_F011,ang,is this a joke?,Ses01F
Ses01F_impro05_F012,ang,"are there candid cameras? is this that movie? there's that show, right? airplane, airline.",Ses01F
Ses01F_impro05_F013,xxx,so you'll give me money and then i'll get my bag?,Ses01F
Ses01F_impro05_F014,ang,"you're kidding me, this is a joke.",Ses01F
Ses01F_impro05_F015,ang,do you have any idea-- fifty dollars? that's supposed to replace everything that i have? do you understand how much i have packed in there? not only does it have sentimental value; it can't be replaced like that. it was incredibly expensive.,Ses01F
Ses01F_impro05_F016,ang,we flew in from paris. i've been shopping for three weeks.,Ses01F
Ses01F_impro05_F017,ang,i don't care what you're freaking sign says. somebody- somebody needs to replace everything i've got there and give me money for my inconvenience.,Ses01F
Ses01F_impro05_F018,ang,do you understand who my husband is?,Ses01F
Ses01F_impro05_F019,ang,"if you're- if you're- if you're looking for a lawsuit, baby, you've found it.",Ses01F
Ses01F_impro05_F020,ang,oh-oh. it's a gift. you're-you're helping me out here?,Ses01F
Ses01F_impro05_F021,ang,you are cruising for a bruising. you are in so much trouble.,Ses01F
Ses01F_impro05_F022,ang,who's in charge? who is the president of jet blue?,Ses01F
Ses01F_impro05_F023,ang,because i probably know him.,Ses01F
Ses01F_impro05_F024,ang,yeah.,Ses01F
Ses01F_impro05_F025,ang,"i don't want money, i want my clothes.",Ses01F
Ses01F_impro05_F026,ang,what's your name?,Ses01F
Ses01F_impro05_F027,xxx,sean. great. do you have a badge number or something?,Ses01F
Ses01F_impro05_F028,ang,okay. i'll do that.,Ses01F
Ses01F_impro05_F029,ang,i don't think you have done everything you could do because i don't have my bag here yet.,Ses01F
Ses01F_impro05_F030,ang,a letter? i'll make a personal phone call.,Ses01F
Ses01F_impro05_M000,neu,hi. thanks for waiting.,Ses01M
Ses01F_impro05_M001,hap,can i help you?,Ses01M
Ses01F_impro05_M002,hap,uh huh.,Ses01M
Ses01F_impro05_M003,neu,okay.,Ses01M
Ses01F_impro05_M004,neu,okay.,Ses01M
Ses01F_impro05_M005,neu,okay. great. i'm really sorry that you had to do that. what's your last name? let's start there.,Ses01M
Ses01F_impro05_M006,neu,okay.,Ses01M
Ses01F_impro05_M007,neu,all right- okay. and you lost your bag? is that- that the issue?,Ses01M
Ses01F_impro05_M008,neu,uh-huh.,Ses01M
Ses01F_impro05_M009,neu,"yeah. yeah, i don't see- i don't see any--",Ses01M
Ses01F_impro05_M010,neu,"i don't see any record of it, and i-usually when i don't see a record of it, that means um-",Ses01M
Ses01F_impro05_M011,neu,"we've mistakenly lost your baggage. we're very sorry. on behalf of jet blue i would like to apologize for any inconvenience. i am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. i'm very sorry, once again...",Ses01M
Ses01F_impro05_M012,neu,"for such an inconvenience and your bag, but",Ses01M
Ses01F_impro05_M013,neu,yeah.,Ses01M
Ses01F_impro05_M014,neu,"no, no.",Ses01M
Ses01F_impro05_M015,neu,"no, no. this is real.",Ses01M
Ses01F_impro05_M016,neu,"no. i'm just giving you money, the bag is gone. if it's not here, i'm really sorry there is nothing i can do because...",Ses01M
Ses01F_impro05_M017,neu,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,Ses01M
Ses01F_impro05_M018,xxx,"once again, i'm really- i'm really sorry.",Ses01M
Ses01F_impro05_M019,neu,yes.,Ses01M
Ses01F_impro05_M020,neu,i know.,Ses01M
Ses01F_impro05_M021,xxx,"i'm very sorry. but if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",Ses01M
Ses01F_impro05_M022,neu,okay. calm-,Ses01M
Ses01F_impro05_M023,neu,"actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",Ses01M
Ses01F_impro05_M024,neu,"we are actually not even allowed-- you know, like we don't have to give you this fifty dollars. we don't have to do that.",Ses01M
Ses01F_impro05_M025,neu,it's a gift.,Ses01M
Ses01F_impro05_M026,neu,"you know, the airlines can not be held responsible for every bag of luggage that comes through here.",Ses01M
Ses01F_impro05_M027,neu,with the amount of--,Ses01M
Ses01F_impro05_M028,neu,"um, actually, i don't know. i don't know. oh really?",Ses01M
Ses01F_impro05_M029,neu,well then maybe you can just call him and he can give you more money. but right now all i can do--,Ses01M
Ses01F_impro05_M030,neu,"right now all i can do is just give you this fifty dollars, i'm really sorry.",Ses01M
Ses01F_impro05_M031,neu,oh. my name is sean. hi.,Ses01M
Ses01F_impro05_M032,sur,"badge number? uh, no. you can just take my employee number i guess.",Ses01M
Ses01F_impro05_M033,sur,why? have i done something wrong? have i given you bad service? i feel like i have done the best i could.,Ses01M
Ses01F_impro05_M034,neu,"if you want, you can write a letter. i can give you the address. yes. an angry--",Ses01M
Ses01F_impro05_M035,neu,"or you can make a phone call. but i think a letter might be a little more-- in my impression, letters have more...",Ses01M
Ses01F_impro06_F000,xxx,it's okay.,Ses01F
Ses01F_impro06_F001,xxx,"no, no, no.",Ses01F
Ses01F_impro06_F002,sad,no.,Ses01F
Ses01F_impro06_F003,neu,that's sweet.,Ses01F
Ses01F_impro06_F004,neu,thank you.,Ses01F
Ses01F_impro06_F005,sad,i went to see her headstone a week or two ago.,Ses01F
Ses01F_impro06_F006,sad,"i used to go to cemeteries a lot before she died. i just, you know, i felt like they were urban oasis, you know, there is always this green in the city.",Ses01F
Ses01F_impro06_F007,sad,so i was like wandering around before. it takes forever to find her headstone; i always lose it. you know.,Ses01F
Ses01F_impro06_F008,sad,so i was looking at this other one and there was like a piece of candy there and i thought that i would take the candy and put it on her headstone. and-,Ses01F
Ses01F_impro06_F009,neu,"this woman came up and, you know, it was hers. it was her person that was there.",Ses01F
Ses01F_impro06_F010,sad,"yeah. and she was like, that's pathetic, i hope you enjoy it.",Ses01F
Ses01F_impro06_F011,sad,"and i, you know, i mean, i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like, no, it's fine. she was like, i would rather have her back, honestly.",Ses01F
Ses01F_impro06_F012,sad,"i don't know. it just, like, i felt so bad because i shouldn't have done it. i don't know. whatever.",Ses01F
Ses01F_impro06_F013,sad,i don't know.,Ses01F
Ses01F_impro06_F014,sad,at the cemetery?,Ses01F
Ses01F_impro06_F015,sad,couple hours.,Ses01F
Ses01F_impro06_F016,neu,"i brought- i brought chuck with me. he went to redlands, yeah, for the day. we ran through the sprinklers.",Ses01F
Ses01F_impro06_F017,xxx,it was hot.[lipsmack],Ses01F
Ses01F_impro06_F018,neu,yeah. it's huge. redlands is an old city so they have lots and lots of stones.,Ses01F
Ses01F_impro06_F019,neu,yeah.,Ses01F
Ses01F_impro06_F020,sad,"it's weird. whenever i go back to town, i think of her. i mean, it's like ... i mean we grew up together and she died when we were twenty one. and yeah. she had cancer, she had two brain tumors.",Ses01F
Ses01F_impro06_F021,sad,"my best friend heather. she's got a- we have a- we built this like little-- there's a park, prospect park. and there is like a garden section of it that we set up for her.",Ses01F
Ses01F_impro06_F022,sad,she used to have these poetry parties on memorial day.,Ses01F
Ses01F_impro06_F023,sad,umm. yeah.,Ses01F
Ses01F_impro06_F024,sad,"and the last time before she died, i remember she couldn't really stand, umm...",Ses01F
Ses01F_impro06_F025,sad,"but i mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. and i remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. it was cool.",Ses01F
Ses01F_impro06_F026,sad,"some, i guess. she memorized this one, john dunn, it's called, death be not proud. and-",Ses01F
Ses01F_impro06_F027,neu,"there's another one, i can't remember.",Ses01F
Ses01F_impro06_F028,sad,"i remember, too, when we were-- she died at u.c.l.a. she had brain surgery and there was not much hope to begin with, but i gave blood for her surgery, her mom and i before, so we dropped her off in the waiting room and then we were giving blood and came back. and she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. all she needs is a god damn audience. you know?",Ses01F
Ses01F_impro06_M000,sad,"i'm sorry, joy.",Ses01M
Ses01F_impro06_M001,neu,is there anything i can get you? do you want me to take care of anything for you or...?,Ses01M
Ses01F_impro06_M002,neu,...pick up anything?,Ses01M
Ses01F_impro06_M003,sad,you know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,Ses01M
Ses01F_impro06_M004,neu,hmm.,Ses01M
Ses01F_impro06_M005,neu,oh. she was there?,Ses01M
Ses01F_impro06_M006,neu,mmhmm.,Ses01M
Ses01F_impro06_M007,sad,yeah.,Ses01M
Ses01F_impro06_M008,neu,how long were you there for?,Ses01M
Ses01F_impro06_M009,neu,mmhmm.,Ses01M
Ses01F_impro06_M010,neu,oh really?,Ses01M
Ses01F_impro06_M011,neu,you ran through the sprinklers in the cemetery?,Ses01M
Ses01F_impro06_M012,neu,is it a big cemetery?,Ses01M
Ses01F_impro06_M013,neu,"oh, so they're like really old too, really old ones?",Ses01M
Ses01F_impro06_M014,neu,mmhmm.,Ses01M
Ses01F_impro06_M015,neu,mmhmm.,Ses01M
Ses01F_impro06_M016,neu,so she wrote a lot of poetry?,Ses01M
Ses01F_impro06_M017,xxx,mmhmm.mmhmm.mmhmm.,Ses01M
Ses01F_impro07_F000,hap,"yes. there's a big envelope it says, you're in. i know.",Ses01F
Ses01F_impro07_F001,xxx,so i have to move back to the ghetto but...i know.,Ses01F
Ses01F_impro07_F002,hap,"i'm really excited. yeah. i don't know how i'm going to pay for anything, but... i also- yeah. loans, too, yeah. i applied, though, for a bunch of grants and scholarships so i'm still waiting to hear on that.",Ses01F
Ses01F_impro07_F003,hap,"oh- i know, i know, i know, i know.",Ses01F
Ses01F_impro07_F004,hap,"i don't know. i spend so much time commuting as it is, i'd rather.",Ses01F
Ses01F_impro07_F005,hap,i know. we should throw a party.,Ses01F
Ses01F_impro07_F006,xxx,"at arapaho we could afford that. [garbage]. yeah. so what are you doing this summer, though? you're staying around, too, yeah?",Ses01F
Ses01F_impro07_F007,xxx,it's a relief too. i mean i was thinking i was going to have to pack up all of my stuff but yeah. hooray for u.s.c.,Ses01F
Ses01F_impro07_F008,xxx,"umm. it's...it's uhh...it's critical studies. it's a really prestigious program, so they say.",Ses01F
Ses01F_impro07_F009,hap,yeah. i'm not sure.,Ses01F
Ses01F_impro07_F010,hap,umm...p.h.d. [laughter],Ses01F
Ses01F_impro07_F011,xxx,"um, yeah, yeah. i'm a ta for two sessions. mmhmm.",Ses01F
Ses01F_impro07_F012,hap,so i get to mold young minds. mrs.? that's my mother.,Ses01F
Ses01F_impro07_F013,hap,"i would be like- oh. right, right, right.",Ses01F
Ses01F_impro07_F014,xxx,"yeah. yeah i'm excited. hooray. and then i'll be a millionaire once i graduate, you understand? because that's the way it works.",Ses01F
Ses01F_impro07_F015,xxx,yeah. totally. [laughter],Ses01F
Ses01F_impro07_F016,hap,"i know. i made such a mess of it, the entire time. the last three things i've done, i've ruined everything, i think. mm-hmm. yeah.",Ses01F
Ses01F_impro07_M000,hap,did you get the letter?,Ses01M
Ses01F_impro07_M001,hap,yeah. that is so awesome.,Ses01M
Ses01F_impro07_M002,hap,oh my god. what are you going to do? [laughter],Ses01M
Ses01F_impro07_M003,hap,"oh-yeah, i bet you're really excited. oh. that's what loans are for? right? exactly.",Ses01M
Ses01F_impro07_M004,hap,"oh. good, good. that's awesome. are you going to stay around here? or are you going to like get a different neighborhood- you going to move to a different neighborhood?",Ses01M
Ses01F_impro07_M005,hap,this is so- i am so happy that you're going to stay. you're not going to...we should totally throw a party.,Ses01M
Ses01F_impro07_M006,hap,a rapper party ho. yeah. okay.,Ses01M
Ses01F_impro07_M007,hap,"i am just- yeah. i'm sticking around, i'm just doing my thing. i'm living here. i'm so glad you're going to stay, i'm so glad you're going to be here. yeah. woo.",Ses01M
Ses01F_impro07_M008,hap,yeah. big time.,Ses01M
Ses01F_impro07_M009,hap,mmhmm. mmhmm. yay. so what major? what are you doing?,Ses01M
Ses01F_impro07_M010,xxx,"oh, okay.",Ses01M
Ses01F_impro07_M011,xxx,ooh. fancy.,Ses01M
Ses01F_impro07_M012,neu,is this a masters or a p.h.d.? or can you...? nice,Ses01M
Ses01F_impro07_M013,neu,"that's good. don't you have to like teach a class, too, when you do that?",Ses01M
Ses01F_impro07_M014,hap,"teacher. mrs. nash, i have a question.",Ses01M
Ses01F_impro07_M015,hap,you have to get married. well you are married to chuck. you're mrs. nash. not to be confused with mrs. dash which is the popular seasoning.,Ses01M
Ses01F_impro07_M016,xxx,"mrs. nash. that's so awesome, though.",Ses01M
Ses01F_impro07_M017,hap,yay...school's fun.,Ses01M
Ses01F_impro07_M018,neu,"of course, right. that's where the real money is, being a student.",Ses01M
